Model name;Random seed;Status;Objective;Lower bound;Time;Last solution time;LB time;Solutions;LNS steps;Restarts;Branches;Fails;Memory;Int Vars;IntervalVars;Constraints;Solver;Workers;Time limit;Parameters;CPU;Date
jobshop_demirkol_cscmax_20_20_3;1;Solution;3864;3385;3600.00;1857.52;0.00;226;18289577;1477;4247759349;1393581161;12969344;0;400;401;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T10:30:10.782Z"
jobshop_demirkol_cscmax_20_20_4;1;Solution;4066;3452;3600.00;1369.68;0.00;211;17935345;677;4209921685;1377801267;10246272;0;400;401;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T10:41:52.518Z"
jobshop_demirkol_cscmax_20_20_6;1;Solution;4116;3527;3600.00;656.22;0.00;211;17432595;669;4120538069;1349152697;9899648;0;400;401;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T11:28:23.405Z"
jobshop_demirkol_cscmax_20_20_9;1;Solution;3857;3391;3600.00;251.30;0.00;248;17477011;868;4081811274;1340949042;11274624;0;400;401;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T11:30:10.805Z"
jobshop_demirkol_cscmax_30_15_10;1;Solution;4513;4141;3600.00;1893.69;0.00;379;13091099;1626;3477295006;1089248096;17291520;0;450;436;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T11:41:52.542Z"
jobshop_demirkol_cscmax_30_15_2;1;Solution;4322;3902;3600.00;724.94;0.00;439;12798606;1355;3312047217;1053066516;17872064;0;450;436;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T12:28:23.429Z"
jobshop_demirkol_cscmax_30_15_5;1;Solution;4457;4202;3600.00;3484.18;0.00;435;12539066;2584;3396578641;1051538561;20908800;0;450;436;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T12:30:10.829Z"
jobshop_demirkol_cscmax_30_15_6;1;Solution;4375;4126;3600.00;2826.76;0.00;325;13119380;1603;3511171987;1092464638;15322304;0;450;436;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T12:41:52.565Z"
jobshop_demirkol_cscmax_30_15_9;1;Solution;4443;4063;3600.00;1609.70;0.00;362;13112832;2008;3481242952;1088282771;19942144;0;450;436;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T13:28:23.455Z"
jobshop_demirkol_cscmax_30_20_3;1;Solution;4958;4270;3600.00;3460.04;0.00;446;9725654;1591;3581691185;961944782;20651136;0;600;591;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T13:30:10.855Z"
